Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SignIn,151,614,24,1172,294.40,0.000%,1.24153,3.10,1.58,2557.0
Get me,151,135,1,326,86.17,0.000%,1.23945,0.40,2.11,330.9
" Search 50 products  with prices, availability, tax, discounts",151,1538,103,5569,1004.62,0.000%,1.23106,64.84,3.45,53933.7
Get product detail  ,1227,1964,12,4266,1015.96,2.282%,9.95723,175.43,28.76,18041.2
Add  SKU to cart,1199,1962,40,4513,1104.40,2.502%,9.73112,6.43,19.49,677.1
Get cart,93,1542,97,3535,662.14,0.000%,.76663,29.39,7.32,39261.9
Create order from cart,93,1824,168,2625,688.39,1.075%,.76499,0.98,1.46,1315.5
Remove  cart,92,1686,27,2737,761.27,2.174%,.75781,0.27,1.34,360.6
 Logout,91,221,2,461,95.59,0.000%,.76513,0.42,1.20,563.0
TOTAL,3248,1723,1,5569,1103.55,1.878%,26.32838,280.12,66.39,10894.9
